n,id,n0,n1,mstr
4,1,2,4,2,1,1,0
4,2,2,3,1,1,0,2;2,2,0,1
6,-1,2,2
6,1,2,2,0,1,1,0;1,1,1,0
6,2,2,5,4,4,3,2
8,1,2,5,0,1,3,0
8,2,2,5,0,1,1,0;2,0,0,2
8,3,2,7,0,1,6,0;0,1,1,0
8,-3,2,3,0,1,1,0;1,0,0,2
8,4,2,3,2,1,1,1;1,1,1,2
9,2,2,6,1,4,0,1;1,5,3,4
10,1,2,5,0,1,1,0;0,1,4,2
10,2,2,5,0,1,4,3
12,1,2,8,0,1,7,0;5,3,3,2
12,2,2,8,7,7,7,0
12,3,2,4,2,1,1,1;1,1,1,2
12,4,2,8,7,0,1,1;1,7,0,7
12,5,2,8,7,0,0,7;2,1,1,1
14,2,2,7,0,1,6,5
16,1,2,14,11,12,12,13
16,2,2,5,1,1,4,1;1,4,1,1
16,3,2,8,0,1,7,0;5,6,6,7
16,6,2,5,4,1,1,1;1,1,1,4
16,7,2,7,6,0,1,1;1,6,0,6
16,8,2,3,0,1,1,0;2,1,1,1
16,9,2,7,0,1,6,0;2,1,1,1
16,11,2,4,0,3,3,0;2,3,3,0;0,1,1,2
18,3,2,6,5,1,0,5;5,0,3,5
18,5,2,6,0,1,5,1;3,2,4,5
20,1,2,5,0,4,1,0;1,4,4,2
20,2,2,5,0,1,1,1
20,3,2,5,0,1,1,0;0,1,2,4
20,4,2,5,0,1,1,0;0,1,4,3
21,2,2,7,0,1,3,4
24,1,2,5,0,1,3,0;4,1,1,1
24,2,2,9,3,1,1,1
24,3,2,3,1,0,1,1;1,1,0,1
24,4,2,6,0,1,5,0;2,1,1,1
24,5,2,6,0,5,1,0;5,3,0,5
24,6,2,6,5,0,1,1;1,5,0,5
24,7,2,8,0,1,7,0;2,1,1,1
24,8,2,4,0,1,3,0;3,3,3,0
24,9,2,8,7,7,7,0;7,0,0,7
24,10,2,6,2,1,1,1;4,5,3,5
24,11,2,6,2,1,1,1;1,1,1,2
24,12,2,4,0,3,3,0;2,1,1,1
24,13,2,4,0,1,3,1;1,1,3,0
32,11,2,5,0,1,1,0;4,1,1,1
32,19,2,7,0,1,6,0;6,6,6,0
32,27,2,4,0,3,3,0;2,3,3,0;1,2,2,3
36,12,2,6,5,1,0,5;1,0,3,1
40,5,2,5,0,1,1,0;0,2,3,1
48,2,2,7,0,1,2,2
48,4,2,5,0,1,1,0;1,1,2,4
48,6,2,6,0,1,5,0;5,5,5,0
48,14,2,8,0,1,7,0;7,7,7,0
48,-29,2,3
48,29,2,3,0,1,1,0;1,1,1,0
48,30,2,4,0,3,1,0;3,1,0,3
48,32,2,6,0,5,1,0;1,4,0,1
48,33,2,5,0,1,1,0;1,1,2,3
48,48,2,4,0,3,3,0;3,1,2,3
48,49,2,4,3,3,3,0;0,3,3,3
72,25,2,6,0,1,5,1;1,1,5,0
120,5,2,5,0,4,1,0;4,1,0,4
